nparam/M,ngpu,nlayer,hidden,seq_len,n_micro,mb,time,memory
223.25,8,2,1024,1024,4,2,4156.58,2.09
127.25,8,1,1024,1024,4,2,2806.73,1.35
223.25,8,2,1024,1024,4,8,16256.83,6.89
223.25,8,2,1024,1024,2,10,11270.22,8.49
127.25,8,1,1024,1024,2,10,7365.27,5.60
