nparam/M,ngpu,nlayer,hidden,seq_len,n_micro,mb,time,memory
223.25,8,2,1024,1024,4,2,912.12,0.94
127.25,8,1,1024,1024,4,2,597.54,0.56
223.25,8,2,1024,1024,4,8,1258.47,1.74
223.25,8,2,1024,1024,2,10,644.46,2.11
127.25,8,1,1024,1024,2,10,399.38,2.02
