[Rank 1] (after 2 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2622.2
[Rank 0] (after 3 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 3 iterations) memory (MB) | max allocated: 5712.4
[Rank 1] (after 4 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 4 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 5 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 5 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 6 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 6 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 7 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 7 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 8 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 8 iterations) memory (MB) | max allocated: 2622.2
[Rank 0] (after 9 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 9 iterations) memory (MB) | max allocated: 5712.4
[Rank 1] (after 10 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 10 iterations) memory (MB) | max allocated: 2622.2
[Rank 0] (after 11 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 11 iterations) memory (MB) | max allocated: 5712.4
[Rank 1] (after 12 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 12 iterations) memory (MB) | max allocated: 2622.2
[Rank 0] (after 13 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 13 iterations) memory (MB) | max allocated: 5712.4
[Rank 1] (after 14 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 14 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 15 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 15 iterations) memory (MB) | max allocated: 2622.2
[Rank 0] (after 16 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 16 iterations) memory (MB) | max allocated: 5712.4
[Rank 1] (after 17 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 17 iterations) memory (MB) | max allocated: 2622.2
[Rank 0] (after 18 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 18 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 19 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 19 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 20 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 20 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2526.6
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 5616.7
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 3 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 3 iterations) memory (MB) | max allocated: 5712.4
[Rank 1] (after 4 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 4 iterations) memory (MB) | max allocated: 2622.2
[Rank 0] (after 5 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 5 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 6 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 6 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 7 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 7 iterations) memory (MB) | max allocated: 5712.4
[Rank 1] (after 8 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 8 iterations) memory (MB) | max allocated: 2622.2
[Rank 0] (after 9 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 9 iterations) memory (MB) | max allocated: 5712.4
[Rank 1] (after 10 iterations) memory (MB) | max allocated: 5712.4
[Rank 0] (after 10 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 5616.7
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2526.6
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 5712.4
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 6241.0
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 3182.9
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 6336.1
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 3286.6
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 5867.3
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2953.5
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 6212.4
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 3434.8
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2526.6
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 1428.0
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 5616.7
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 5711.9
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 1428.0
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2526.6
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 5616.7
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 1428.0
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 5711.9
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2622.2
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 1448.9
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2526.6
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 2616.6
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 1428.0
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2622.2
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 2712.2
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 1428.0
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 2616.6
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 1428.0
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2526.6
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 2712.2
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 1428.0
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2622.2
[Rank 2] (after 1 iterations) memory (MB) | max allocated: 3696.6
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2526.6
[Rank 1] (after 1 iterations) memory (MB) | max allocated: 1428.0
[Rank 1] (after 2 iterations) memory (MB) | max allocated: 1428.0
[Rank 2] (after 2 iterations) memory (MB) | max allocated: 3792.2
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2623.2
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 731.2
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 834.4
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 1304.0
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 1407.3
[Rank 0] (after 1 iterations) memory (MB) | max allocated: 2543.4
[Rank 0] (after 2 iterations) memory (MB) | max allocated: 2647.1
