nparam/M,ngpu,nlayer,hidden,seq_len,n_micro,mb,time,memory
223.25,8,2,1024,1024,4,2,2434.66,1.17
127.25,8,1,1024,1024,4,2,1009.36,0.86
223.25,8,2,1024,1024,4,8,3283.25,2.61
127.25,8,1,1024,1024,2,10,832.02,2.63
